time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.34276441133e-08,3.86803253588e-07,7.00354520783,0.000340317477479,6.28303706838,0.0,9.99168112537e-06,3.2702151905e-05,0.118167917878,0.015112993657,-0.00793730828415,0.0,442.5670657336415,441.913449907497,442.3913742808818,443.6337406682722
0.12000000000000001,4.79121222122e-06,1.39842114356e-05,7.01588082785,0.00124121029403,0.000205879687321,0.0,0.000143796423749,0.000522749843279,0.292990036397,0.0148179358512,0.0247031404647,0.0,458.48485343906583,461.07037801978134,460.34482347327116,460.32136745182737
0.18,2.58541407559e-06,7.81668030442e-05,7.03852085508,0.00274542440949,0.00156746988398,0.0,-0.000377176413644,0.00175684959389,0.461623601844,0.0402029319984,0.0183358272439,0.0,459.01805663869493,458.5125822669706,456.77095107296276,458.79064806627287
0.23999999999999996,-5.40155469426e-05,0.000244595312423,7.06755984659,0.00551524848776,0.00298540643102,0.0,-0.00162918973289,0.00403574445253,0.506322552507,0.0560019319326,0.0325422168173,0.0,418.4690148542962,419.7037329869794,418.6714592527615,420.044958856764
0.3,-0.00021487922289,0.000602712579349,7.09916224611,0.00898514021481,0.00473739511183,0.0,-0.00390651381175,0.00821998471516,0.547069052028,0.0612589277008,0.0215001934036,0.0,417.64969438298107,416.685969328243,418.52359575858355,418.9833591031522
0.36000000000000004,-0.000569241460389,0.00133010731466,7.13832030113,0.013895270971,0.00645063404053,0.0,-0.00808617011719,0.016553740554,0.758076520251,0.106165906636,0.039852880522,0.0,469.7688851947718,471.1897962430486,470.10824701895194,473.578962237237
0.4200000000000001,-0.00117138322694,0.0025791598774,7.18311542792,0.0202820000165,0.00881467037241,0.0,-0.0121846078816,0.02561603696,0.735099488467,0.106998384309,0.0384806061991,0.0,395.86027924528884,395.7349907951365,397.35323577237193,397.44093615395025
0.48000000000000015,-0.00211014042078,0.00459798959315,7.23200142632,0.0267499985307,0.0113514805842,0.0,-0.0193757291204,0.0423896305486,0.894303404633,0.109355494606,0.0489618670655,0.0,455.96312432537104,456.80049521730825,455.39761853194483,455.596001975275
0.5400000000000001,-0.0035283755464,0.00774201277747,7.28945772629,0.0337195616275,0.014598150607,0.0,-0.0282268943519,0.0631273807523,1.02077610188,0.127124836634,0.0628084716449,0.0,444.44302488438257,445.5782151116831,446.5713012357534,448.03000375015677
0.6000000000000002,-0.00556732811278,0.0123219409356,7.35559267349,0.0410708396601,0.0178821653901,0.0,-0.0401390410263,0.0903668462187,1.18352948374,0.111215537714,0.0291527952642,0.0,459.16927771098693,456.4935431400991,458.0239099940803,456.7700352786826
0.6600000000000003,-0.00840479065078,0.0187402277894,7.43247536396,0.0480325758635,0.0198896679225,0.0,-0.0546588040578,0.124359636254,1.37897073464,0.124235054147,0.0409150538339,0.0,467.89841598640567,468.81351052515805,466.8421207131519,467.86801405514905
0.7200000000000003,-0.0120640603355,0.0271233728112,7.51619200705,0.0556023134483,0.0219247512208,0.0,-0.0675285643919,0.155767152603,1.41150194652,0.129758699123,0.0138012982373,0.0,418.72727312223685,416.36257815726697,416.59448190982,417.09276707506433
0.7800000000000004,-0.01655018013,0.0375913864373,7.60286404851,0.0639642281091,0.0224141372036,0.0,-0.082074369086,0.193948275077,1.47743127839,0.153759703445,-0.0066032055812,0.0,429.7478928509523,428.01493261281075,426.85910738230086,428.92059505563554
0.8400000000000004,-0.0219688619916,0.0506788453105,7.6959120982,0.07336586163,0.0215679019865,0.0,-0.0984845104427,0.243300614108,1.62390016867,0.161990562764,-0.0366053320295,0.0,456.01797144640386,453.6153040064997,453.1047680746493,453.78858241504895
0.9000000000000005,-0.0284303611869,0.0672334538554,7.80167841986,0.0831044266139,0.0188246117811,0.0,-0.116591590044,0.309733673814,1.90112452936,0.162938779704,-0.0787345544855,0.0,493.6498505937206,490.53003064323576,494.2909594016102,494.38299381012183
0.9600000000000005,-0.0357740922062,0.0874607777548,7.91740445902,0.0929917703351,0.0138224065187,0.0,-0.127734899319,0.365438036008,1.95623340844,0.168249693699,-0.0947794040814,0.0,427.22044303877493,425.8441223613322,427.031252682133,427.51109137435196
1.0200000000000005,-0.0437641564331,0.11179856259,8.04247642286,0.1034253556,0.00833741354579,0.0,-0.137894379071,0.447060101029,2.21223809116,0.18328223156,-0.0854245913033,0.0,488.81112649456276,489.5014892617979,487.5791246399913,488.7267319144795
1.0800000000000005,-0.0521865841404,0.140732076335,8.17750504548,0.11420675722,0.00297587053532,0.0,-0.142334960731,0.518442824218,2.28843533529,0.171326470492,-0.0986875796961,0.0,435.64306783064933,434.5257307276651,436.29419080956893,435.3266710088073
1.1400000000000006,-0.060776855399,0.174834828642,8.32286495152,0.124624177518,6.28071203723,0.0,-0.143285732131,0.61955453243,2.55614980409,0.177856434198,-0.0784908084123,0.0,492.8779418813198,494.36207389542807,493.8110115639118,494.3180671275593
1.2000000000000006,-0.0693060438643,0.214604658444,8.47900698828,0.135133288381,6.27600069402,0.0,-0.140543289731,0.707137903028,2.64820423589,0.169114367593,-0.0785855802826,0.0,442.59045479602304,442.5777035593017,443.2066978661919,442.5172275467214
1.2600000000000007,-0.0776035875277,0.259337717349,8.636993833,0.145431879153,6.27147670053,0.0,-0.135656434882,0.784807373684,2.61794223648,0.176267522344,-0.0696912434921,0.0,402.1675792817569,402.9672411863402,402.855213120242,403.53300685969793
